K,F,T,seed,reward_dot,cost_dot,net_dot,reward_linear,cost_linear,net_linear,reward_network,cost_network,net_network,structural_updates_network
4,8,400,4,0.9401253205254864,0.0,0.9401253205254864,1.012266585737623,4.0,0.9722665857376229,1.0147707589586497,8.32,0.9315707589586495,32
4,8,400,5,0.7569235548416832,0.0,0.7569235548416832,0.8399047328768856,4.0,0.7999047328768856,0.8072205973539384,8.26,0.7246205973539384,26
4,8,400,6,0.05384132946285519,0.0,0.05384132946285519,0.10589201388175307,4.0,0.06589201388175306,0.09280030813299829,8.16,0.011200308132998292,16
4,8,400,7,0.026086628858834483,0.0,0.026086628858834483,0.04013395086315714,4.0,0.00013395086315713732,0.057925887518331144,8.38,-0.025874112481668866,38
4,8,400,8,2.0661182028587146,0.0,2.0661182028587146,2.113026833265293,4.0,2.073026833265293,1.967443047954376,8.53,1.8821430479543761,53
4,8,400,9,1.3920305331989515,0.0,1.3920305331989515,1.4059553409573269,4.0,1.3659553409573268,1.4190353937701046,8.33,1.3357353937701044,33
8,2,400,0,0.34636237441946927,0.0,0.34636237441946927,0.38406072702890737,8.0,0.3040607270289074,0.3821231868201794,2.0325,0.3617981868201794,13
8,2,400,1,-0.10363999382428776,0.0,-0.10363999382428776,-0.10161181335726516,8.0,-0.18161181335726517,-0.06445884161760033,2.0175,-0.08463384161760032,7
8,2,400,2,0.5359180695282201,0.0,0.5359180695282201,0.5554368846584614,8.0,0.47543688465846146,0.558732345901335,2.0425,0.538307345901335,17
8,2,400,3,0.17023119453135166,0.0,0.17023119453135166,0.12038855389769677,8.0,0.04038855389769678,0.1913468054926237,2.0275,0.1710718054926237,11
8,2,400,4,1.8208485453251384,0.0,1.8208485453251384,1.8640457860426645,8.0,1.7840457860426644,1.8843834975653402,2.1,1.8633834975653403,40
8,2,400,5,0.8053327607116123,0.0,0.8053327607116123,0.7838328107064281,8.0,0.7038328107064281,0.9362023807010827,2.0425,0.9157773807010827,17
8,2,400,6,1.9459326469403206,0.0,1.9459326469403206,1.9231333620192816,8.0,1.8431333620192816,2.0967684651770226,2.0625,2.0761434651770228,25
8,2,400,7,0.6035918608776817,0.0,0.6035918608776817,0.5898604788837154,8.0,0.5098604788837154,0.7204558801239951,2.085,0.6996058801239952,34
8,2,400,8,0.9226181505449113,0.0,0.9226181505449113,0.8569400233300244,8.0,0.7769400233300244,0.8904249782070098,2.055,0.8698749782070098,22
8,2,400,9,1.01549870831712,0.0,1.01549870831712,0.9994368292439973,8.0,0.9194368292439974,1.0403862659359868,2.0825,1.0195612659359867,33
8,4,400,0,0.15306547339157142,0.0,0.15306547339157142,0.14602845031227246,8.0,0.06602845031227247,0.16291023749343952,4.09,0.12201023749343953,18
8,4,400,1,0.5587436538696571,0.0,0.5587436538696571,0.5037656039617353,8.0,0.4237656039617353,0.6143786956545498,4.38,0.5705786956545498,76
8,4,400,2,0.695194238609851,0.0,0.695194238609851,0.6316028940880721,8.0,0.5516028940880721,0.7856499690125395,4.12,0.7444499690125395,24
8,4,400,3,0.08771226541015986,0.0,0.08771226541015986,0.09818984502807364,8.0,0.01818984502807364,0.08099007267945105,4.155,0.039440072679451044,31
8,4,400,4,1.2604094081084032,0.0,1.2604094081084032,1.271881482796211,8.0,1.191881482796211,1.3222722091038621,4.165,1.2806222091038624,33
8,4,400,5,0.5629700438447007,0.0,0.5629700438447007,0.5956292318979961,8.0,0.515629231897996,0.5857509793055223,4.125,0.5445009793055223,25
8,4,400,6,0.41203359683865215,0.0,0.41203359683865215,0.4163334073022365,8.0,0.3363334073022365,0.37119322998025334,4.17,0.3294932299802533,34
8,4,400,7,0.459059457118354,0.0,0.459059457118354,0.42659116781963374,8.0,0.3465911678196338,0.4808487402181826,4.24,0.4384487402181826,48
8,4,400,8,1.1206766680901232,0.0,1.1206766680901232,1.10304552742691,8.0,1.02304552742691,1.1106744429630055,4.225,1.0684244429630056,45
8,4,400,9,1.5884190267110763,0.0,1.5884190267110763,1.5616383985430813,8.0,1.4816383985430812,1.6741058642833428,4.225,1.631855864283343,45
8,8,400,0,0.5043464312757409,0.0,0.5043464312757409,0.610952269923394,8.0,0.5309522699233941,0.5725796460798837,8.77,0.4848796460798836,77
8,8,400,1,0.23224412406932882,0.0,0.23224412406932882,0.2335701909371125,8.0,0.15357019093711252,0.28757119929445357,8.48,0.20277119929445356,48
8,8,400,2,2.3413773105077365,0.0,2.3413773105077365,2.409741542972109,8.0,2.329741542972109,2.385075849844089,8.4,2.301075849844089,40
8,8,400,3,1.0174316994355912,0.0,1.0174316994355912,1.0580722123618087,8.0,0.9780722123618087,1.016173894397896,8.77,0.9284738943978961,77
8,8,400,4,0.4451726547877615,0.0,0.4451726547877615,0.4338275929467421,8.0,0.3538275929467421,0.3614895043260003,9.01,0.27138950432600034,101
8,8,400,5,0.13026680802198462,0.0,0.13026680802198462,0.1830401626297123,8.0,0.10304016262971227,0.1390086008853303,8.28,0.0562086008853303,28
8,8,400,6,0.43653244208923203,0.0,0.43653244208923203,0.397903156714688,8.0,0.31790315671468805,0.4553382094314069,8.26,0.3727382094314069,26
8,8,400,7,0.361607613280667,0.0,0.361607613280667,0.5335547134963026,8.0,0.45355471349630255,0.5776942403162139,8.84,0.4892942403162138,84
8,8,400,8,0.6580955169498022,0.0,0.6580955169498022,0.6321139359733308,8.0,0.5521139359733307,0.6591182566989621,8.56,0.5735182566989621,56
8,8,400,9,0.44686184463236633,0.0,0.44686184463236633,0.47732585330520066,8.0,0.39732585330520065,0.4898869421744269,8.32,0.4066869421744269,32
16,2,400,0,0.14838910118996781,0.0,0.14838910118996781,0.15325599202149648,16.0,-0.006744007978503532,0.1783219378263975,2.0375,0.1579469378263975,15
16,2,400,1,1.3425086411476217,0.0,1.3425086411476217,1.323541519862443,16.0,1.1635415198624428,1.546296566992737,2.065,1.525646566992737,26
16,2,400,2,0.7842879297046734,0.0,0.7842879297046734,0.7177352577226109,16.0,0.5577352577226109,0.8005166189778724,2.05,0.7800166189778724,20
16,2,400,3,0.26678746590312596,0.0,0.26678746590312596,0.3085865774274956,16.0,0.14858657742749565,0.337542653007066,2.045,0.31709265300706596,18
16,2,400,4,1.3323345293770978,0.0,1.3323345293770978,1.3613225845068064,16.0,1.2013225845068063,1.4096679213444994,2.07,1.3889679213444994,28
16,2,400,5,0.09110049449929088,0.0,0.09110049449929088,0.11459774071334695,16.0,-0.04540225928665304,0.13784698593776412,2.025,0.11759698593776413,10
16,2,400,6,0.28332153182868014,0.0,0.28332153182868014,0.23022194285744205,16.0,0.07022194285744206,0.2853993027351694,2.05,0.2648993027351694,20
16,2,400,7,0.9118865376619709,0.0,0.9118865376619709,0.8604563970560635,16.0,0.7004563970560634,0.9877449853596949,2.0575,0.9671699853596948,23
16,2,400,8,0.8730505025992114,0.0,0.8730505025992114,0.8708110645204846,16.0,0.7108110645204846,0.9512772959786154,2.05,0.9307772959786155,20
16,2,400,9,0.9247630286935582,0.0,0.9247630286935582,0.9075803882288531,16.0,0.7475803882288531,1.0694702246931522,2.1,1.0484702246931523,40
16,4,400,0,1.3174517692085963,0.0,1.3174517692085963,1.2878123016769256,16.0,1.1278123016769257,1.4829583785283318,4.165,1.441308378528332,33
16,4,400,1,0.06189113254887326,0.0,0.06189113254887326,0.056935386628276345,16.0,-0.10306461337172365,0.1305872318466402,4.12,0.0893872318466402,24
16,4,400,2,1.720017754724936,0.0,1.720017754724936,1.9475211822949117,16.0,1.7875211822949117,2.0181931004484692,4.26,1.9755931004484695,52
16,4,400,3,0.7449862673717672,0.0,0.7449862673717672,0.6810471501141981,16.0,0.5210471501141981,0.8756431192672237,4.255,0.8330931192672237,51
16,4,400,4,0.5365543503557124,0.0,0.5365543503557124,0.6331898293221203,16.0,0.4731898293221203,0.6133146446405421,4.235,0.5709646446405421,47
16,4,400,5,0.29870797693201284,0.0,0.29870797693201284,0.29572053929864384,16.0,0.1357205392986438,0.3497669283201921,4.125,0.3085169283201921,25
