comparison_id,study,experiment,emotion,strategy_code,control_code,strategy_family,gross_family,dln_stage,n_exp,n_ctrl,n_total,d_experiential,d_behavioral,d_physiological,d_composite,n_outcomes,se_d,vi
199,Muravenetal.(1998),1,negative_affect,S4,Cont3,suppression,response_modulation,linear,20.0,20.0,40.0,0.0,,,0.0,1,0.3162,0.1
200,Najmietal.(2009),1,anxiety,R1,S3,reappraisal,cognitive_change,network,20.0,,20.0,-0.38,,,-0.38,1,0.3219,0.10361
201,Najmietal.(2009),1,anxiety,S3,D1,suppression,response_modulation,linear,20.0,,20.0,0.22,,,0.22,1,0.3181,0.10121
202,Najmietal.(2009),1,anxiety,R1,D1,reappraisal,cognitive_change,network,20.0,,20.0,-0.2,,,-0.2,1,0.3178,0.101
203,Nolen-Hoeksema&Morrow(1993),1,none,D3,C3,distraction,attentional_deployment,linear,12.0,12.0,24.0,0.31,,,0.31,1,0.4107,0.168669
204,Ochsneretal.(2002),1,negative_affect,R4,Cont4,reappraisal,cognitive_change,network,15.0,,15.0,1.49,,,1.49,1,0.4553,0.207337
205,Ochsneretal.(2004),1,negative_affect,R2,Cont4,reappraisal,cognitive_change,network,12.0,,12.0,0.22,,,0.22,1,0.4107,0.168683
206,Ochsneretal.(2004),1,negative_affect,R3,Cont4,reappraisal,cognitive_change,network,12.0,,12.0,1.43,,,1.43,1,0.5019,0.251871
207,Ohiraetal.(2006),1,negative_affect,S2,Cont4,suppression,response_modulation,dot,10.0,,10.0,0.08,-0.12,,-0.02,2,0.4472,0.20002
208,Ortneretal.(2007),2,negative_affect,R1,Cont1,reappraisal,cognitive_change,network,21.0,24.0,45.0,0.66,0.09,,0.375,2,0.3014,0.090848
209,Orzechetal.(2009),1,none,R1,Cont1,reappraisal,cognitive_change,network,36.0,33.0,69.0,0.31,,,0.31,1,0.2424,0.058777
210,Paceetal.(2009),1,anxiety,R1,Cont1,reappraisal,cognitive_change,network,33.0,28.0,61.0,1.83,0.18,,1.005,2,0.2726,0.074296
211,Parketal.(2004),1,none,D4,C3,distraction,attentional_deployment,linear,33.0,,33.0,0.3,,,0.3,1,0.2489,0.06197
