sample_id,citation,expt,sample,n,n_crit,topic,icc,n_iat,iat_type,ecc,n_expl,expl_type,iec
81,Kaminska-Feldman (2004),1,1,47,1,Other intergroup,0.227,1,Attitude,,,
82,Karpinski & Hilton (2001),2,1,81,1,Consumer,0.030,1,Attitude,0.360,3,Multiple,0.160
83,Karpinski & Steinman (2006),1,1,53,1,Consumer,0.277,3,Attitude,0.540,2,Attitude,0.101
84,Karpinski et al. (2005),1,1,155,1,Politics,0.420,1,Attitude,0.721,2,Attitude,0.460
85,Karpinski et al. (2005),2,2,109,1,Consumer,0.353,1,Attitude,0.698,1,Attitude,0.290
86,Karpinski et al. (2005),3,3,72,1,Consumer,0.550,1,Attitude,0.960,2,Attitude,0.520
87,Lemm (2000),1,1,33,1,Gender/sex,0.380,1,Attitude,0.160,1,Belief,0.130
88,Levesque & Brown (2004),2,1,69,1,Personality,0.140,1,Self,0.440,1,Self,0.190
89,Levesque & Brown (2004),3,2,78,2,Personality,0.060,1,Self,0.270,1,Self,0.020
90,Livingston (2002),1,1,34,1,Other intergroup,0.370,1,Attitude,0.025,2,Belief,
91,Livingston (2002),2,2,34,1,Other intergroup,0.040,1,Attitude,0.265,2,Belief,
92,Livingston (2002),2,3,31,2,Race (Bl/Wh),0.430,2,Attitude,0.262,2,Belief,0.290
93,Maison et al. (2001),1,1,70,1,Consumer,0.200,1,Attitude,0.465,3,Multiple,0.380
94,Maison et al. (2001),2,2,50,1,Consumer,0.340,1,Attitude,,,,
95,Maison et al. (2004),1,1,32,1,Consumer,0.535,1,Attitude,0.697,1,Attitude,0.474
96,Maison et al. (2004),2,2,39,1,Consumer,0.352,1,Attitude,0.592,1,Attitude,0.431
97,Maison et al. (2004),3,3,102,2,Consumer,0.572,1,Attitude,0.638,1,Attitude,0.404
98,Maner et al. (2005),2,1,51,2,Other intergroup,0.130,1,Attitude,,,
99,Marsh et al. (2001),1,1,36,1,Relationships,0.107,2,Belief,0.130,4,Multiple,0.055
100,Marsh et al. (2001),1,2,71,1,Relationships,0.085,2,Belief,0.461,3,Multiple,0.032
101,Marsh et al. (2001),1,3,80,1,Relationships,0.050,2,Belief,0.317,4,Multiple,0.013
102,Martens et al. (2005),1,1,35,1,Personality,0.460,1,Self,0.120,1,Attitude,0.120
103,Mauss et al. (2006),2,1,36,8,Clinical,0.345,1,Self,,,
104,McConnell & Leibold (2001),1,1,41,15,Race (Bl/Wh),0.229,1,Attitude,0.085,1,Attitude,0.420
105,McGraw & Mulligan (2003),1,1,93,2,Politics,0.418,2,Attitude,0.549,2,Self,0.480
106,Mitchell et al. (2006),1,1,15,2,Politics,0.434,2,Belief,0.021,1,Self,0.173
107,Neumann et al. (2004),1,1,37,2,Gender/sex,0.160,1,Attitude,0.238,1,Attitude,0.190
108,Nock & Banaji (2007a),1,1,89,4,Clinical,0.493,2,Belief,,,
109,Nock & Banaji (2007b),1,1,73,3,Clinical,0.376,1,Self,,,
110,Nosek & Hansen (2008),2,1,926,1,Politics,0.647,1,Attitude,0.866,2,Attitude,0.637
111,Nosek & Hansen (2008),4,2,1028,2,Consumer,0.304,1,Attitude,0.554,2,Attitude,0.370
112,Nosek & Hansen (2008),5,3,82,1,Politics,0.552,2,Attitude,0.837,2,Attitude,0.576
